City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Kadhan,PK,86.2,clear sky,24.480999999999998,68.9859,ڳوٺ چوڌري جلال الدين جٽ
337,Beyneu,KZ,86.05,clear sky,45.3167,55.2,NUR
338,Victoria,HK,86.97,broken clouds,22.2855,114.1577,Mini Hotel Central
339,San Francisco,US,74.91,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
344,San Juan,AR,71.73,scattered clouds,-31.5375,-68.5364,Hotel Provincial
345,Nabire,ID,76.32,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
346,Anloga,GH,83.75,overcast clouds,5.7947,0.8973,Pin Drop Hotel
351,Diamantino,BR,92.3,overcast clouds,-14.4086,-56.4461,Hotel Delta
354,Najran,SA,90.25,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
355,Varzea Grande,BR,94.87,few clouds,-15.6467,-56.1325,Hotel Express
357,Filadelfia,US,70.56,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
360,Alcazar De San Juan,ES,80.31,overcast clouds,39.3901,-3.2083,Hotel Convento Santa Clara
362,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
363,Mantua,IT,78.04,scattered clouds,45.1667,10.7833,Hotel la Favorita
366,Karratha,AU,75.67,broken clouds,-20.7377,116.8463,ibis Styles Karratha
369,Hirara,JP,81.03,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
370,Myitkyina,MM,80.29,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
371,Alenquer,BR,86.34,scattered clouds,-1.9417,-54.7383,Josilene Castro
372,Caetite,BR,83.98,clear sky,-14.0694,-42.475,Hotel Porto do Sol
376,Mangai,CD,78.76,broken clouds,-4.05,19.5333,
377,Palu,ID,75.79,clear sky,-0.8917,119.8707,Hotel Santika Palu
380,Tual,ID,81.32,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
383,Arriaga,MX,90.57,overcast clouds,16.2333,-93.9,HOTEL IO
386,Mandera,KE,84.52,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
388,Marzuq,YE,83.84,broken clouds,14.4,46.4667,
389,Sampit,ID,75.24,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
390,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
391,Saint George,US,90.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
393,Dhidhdhoo,MV,83.91,clear sky,6.8833,73.1,Dhidhoo beach
401,Kavieng,PG,81.23,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
403,Hit,IQ,93.97,clear sky,33.6416,42.8251,صالون زيرو
405,Mananjary,MG,70.59,clear sky,-21.2167,48.3333,Vahiny Lodge
410,Tagusao,PH,81.41,broken clouds,9.1924,117.8141,Toledo
415,Tevaitoa,PF,79.65,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
417,Boyuibe,BO,84.11,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
418,Dekalb,US,86.2,scattered clouds,33.7504,-84.2333,"America's Best Inn Georgia, GA"
419,Pangkalanbuun,ID,75.04,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
422,Kupang,ID,77.9,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
423,Poum,NC,72.5,clear sky,-20.2333,164.0167,Gîte kajeon
424,Oyo,NG,84.18,light rain,7.85,3.9333,Gold N Rock Hotel Nigeria Limited
425,Korla,CN,82.02,clear sky,41.7597,86.1469,Gulisitan Hotel
427,Miraflores,MX,74.05,overcast clouds,19.2167,-98.8083,Hotel Mansión
428,Chaozhou,CN,85.86,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
430,Talavera De La Reina,ES,86.88,broken clouds,39.9635,-4.8308,Be Live City Center Talavera
434,Manono,CD,75.76,scattered clouds,-7.3,27.4167,Hotel hewa bora
435,Nanakuli,US,76.1,scattered clouds,21.3906,-158.1547,Camp Pālehua
436,Clarksburg,US,71.29,overcast clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
438,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
439,Norsup,VU,72.07,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
441,Rock Springs,US,71.24,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
442,Farafangana,MG,70.54,clear sky,-22.8167,47.8333,Miarina
443,Clearlake,US,79.16,few clouds,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
444,Acarau,BR,86.68,few clouds,-2.8856,-40.12,castelo pizzaria
446,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
447,Huarmey,PE,71.62,broken clouds,-10.0681,-78.1522,Hotel Miramar
448,Sao Miguel Do Araguaia,BR,92.55,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
451,Avera,US,92.93,clear sky,33.194,-82.5271,
452,Moerai,PF,78.01,overcast clouds,-22.4333,-151.3333,Le Manotel
453,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
455,Makakilo City,US,74.68,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
456,Zhanaozen,KZ,74.97,clear sky,43.3,52.8,K.korabay 28A
458,Santona,ES,72.81,overcast clouds,43.4439,-3.4576,Playamar
461,Mananara,MG,70.38,few clouds,-16.1667,49.7667,Chez Roger
462,Beboto,TD,87.66,scattered clouds,8.2668,16.939,
464,Itambacuri,BR,86.56,few clouds,-18.0311,-41.685,Pousada Bela
466,Axim,GH,84.43,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
469,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
470,Limbang,MY,78.06,overcast clouds,4.75,115.0,Purnama Hotel
473,Huilong,CN,72.03,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
475,Bull Savanna,JM,83.25,moderate rain,17.8868,-77.5902,Big Red's
