City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Macherla,IN,16.4833,79.4333,93.78,39,36,2.48,scattered clouds
113,Esperance,AU,-33.8667,121.9,60.64,47,99,16.8,overcast clouds
114,Grand Gaube,MU,-20.0064,57.6608,72.37,78,14,3.0,few clouds
115,Bethel,US,41.3712,-73.414,66.58,50,1,8.05,clear sky
116,Avarua,CK,-21.2078,-159.775,69.85,100,75,3.44,broken clouds
117,Fairbanks,US,64.8378,-147.7164,42.1,55,1,12.66,clear sky
118,Ust-Kuyga,RU,70.0167,135.6,41.38,82,57,11.12,broken clouds
119,Opuwo,NA,-18.0607,13.84,69.94,24,0,8.72,clear sky
120,Bengkulu,ID,-3.8004,102.2655,75.4,92,100,3.87,light rain
121,Astoria,US,46.1879,-123.8313,58.01,82,90,1.01,overcast clouds
122,Ponta Do Sol,PT,32.6667,-17.1,74.01,72,49,2.68,scattered clouds
123,Birao,CF,10.2849,22.7882,92.93,27,78,2.26,broken clouds
124,Jamestown,US,42.097,-79.2353,50.29,97,90,5.01,moderate rain
125,Mahebourg,MU,-20.4081,57.7,72.25,88,40,3.44,scattered clouds
126,Halifax,CA,44.6453,-63.5724,57.69,33,75,5.01,broken clouds
127,Kananga,CD,-5.8958,22.4178,77.43,50,62,2.64,broken clouds
128,Puerto Ayora,EC,-0.7393,-90.3518,80.56,85,85,5.99,overcast clouds
129,Wuwei,CN,37.9281,102.6414,67.19,29,98,8.01,overcast clouds
130,Ipora,BR,-16.4419,-51.1178,91.85,29,74,11.54,broken clouds
131,North Bend,US,43.4065,-124.2243,62.24,67,75,11.5,broken clouds
132,Wasilla,US,61.5814,-149.4394,48.65,90,90,5.75,light rain
133,Culebra,PR,18.303,-65.301,87.17,75,9,8.08,clear sky
134,Killeen,US,31.1171,-97.7278,83.52,78,40,10.36,scattered clouds
135,Seymchan,RU,62.8833,152.4333,40.1,79,100,5.57,overcast clouds
136,Haines Junction,CA,60.7522,-137.5108,49.95,46,100,4.61,overcast clouds
137,Sinnamary,GF,5.3833,-52.95,79.5,89,80,9.69,broken clouds
138,Egvekinot,RU,66.3167,-179.1667,28.49,75,34,9.73,scattered clouds
139,Vizinga,RU,61.0749,50.1031,57.36,71,99,6.2,overcast clouds
140,Harper,LR,4.375,-7.7169,83.17,76,98,8.19,overcast clouds
141,Ishinomaki,JP,38.4167,141.3,58.57,92,100,9.78,overcast clouds
142,Cap Malheureux,MU,-19.9842,57.6142,72.46,78,19,3.0,few clouds
143,Yashan,CN,22.1975,109.9419,78.49,94,84,2.01,broken clouds
144,Honiara,SB,-9.4333,159.95,75.7,91,100,3.27,overcast clouds
145,Constitucion,CL,-35.3333,-72.4167,58.71,62,47,3.06,scattered clouds
146,Chuy,UY,-33.6971,-53.4616,62.96,73,53,6.42,broken clouds
147,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,69,0,13.8,clear sky
148,Ratnagiri,IN,16.9833,73.3,84.2,76,100,4.07,overcast clouds
149,Slave Lake,CA,55.2834,-114.769,48.18,93,90,19.57,light rain
150,Souillac,MU,-20.5167,57.5167,72.36,88,40,6.69,scattered clouds
151,Mount Isa,AU,-20.7333,139.5,64.17,20,28,9.22,scattered clouds
152,Coffeyville,US,37.0373,-95.6164,67.55,67,75,16.11,broken clouds
153,Ustyuzhna,RU,58.8394,36.4321,59.29,64,23,5.82,few clouds
154,Katsuura,JP,35.1333,140.3,70.2,86,100,21.79,light rain
155,Dikson,RU,73.5069,80.5464,23.29,93,100,3.62,overcast clouds
156,Nichinan,JP,31.6,131.3667,70.75,85,100,13.31,overcast clouds
157,Chitral,PK,35.8462,71.7858,72.07,45,71,2.26,broken clouds
158,New Iberia,US,30.0035,-91.8187,80.78,62,51,8.12,broken clouds
159,Ptuj,SI,46.4201,15.8702,66.81,42,0,3.62,clear sky
160,Bluff,NZ,-46.6,168.3333,49.8,74,100,14.14,moderate rain
161,Winston-Salem,US,36.0999,-80.2442,88.47,55,20,11.5,few clouds
162,Coquimbo,CL,-29.9533,-71.3436,64.13,72,40,5.03,scattered clouds
163,Igrim,RU,63.1906,64.4162,47.44,71,84,4.72,broken clouds
164,Peniche,PT,39.3558,-9.3811,78.75,74,80,16.98,broken clouds
165,Luderitz,NA,-26.6481,15.1594,63.23,61,67,15.52,broken clouds
166,Leh,IN,34.1667,77.5833,52.29,23,7,5.84,clear sky
167,Bathsheba,BB,13.2167,-59.5167,86.61,51,20,15.77,few clouds
168,Adrar,MR,20.5022,-10.0711,107.78,9,62,5.64,broken clouds
169,La Ronge,CA,55.1001,-105.2842,55.65,54,90,10.36,overcast clouds
170,Ancud,CL,-41.8697,-73.8203,51.42,61,91,11.34,overcast clouds
171,Narsaq,GL,60.9167,-46.05,59.22,60,59,7.7,broken clouds
172,Sokol,RU,59.4617,40.1206,58.73,65,25,8.75,light rain
173,Necochea,AR,-38.5473,-58.7368,60.04,51,2,22.28,clear sky
174,Ribeira Grande,PT,38.5167,-28.7,66.6,63,40,12.66,scattered clouds
175,Biak,ID,-0.9131,122.8766,76.77,85,35,6.96,scattered clouds
176,Iqaluit,CA,63.7506,-68.5145,31.73,69,75,17.0,broken clouds
177,Port Macquarie,AU,-31.4333,152.9167,51.89,67,100,20.76,overcast clouds
178,Pangnirtung,CA,66.1451,-65.7125,33.8,75,90,13.8,overcast clouds
179,San Cristobal,VE,7.7669,-72.225,80.78,52,24,7.72,few clouds
180,Basco,PH,20.4487,121.9702,84.88,73,91,11.74,overcast clouds
181,Sioux Lookout,CA,50.1001,-91.917,55.47,30,1,6.91,clear sky
182,Saint-Augustin,CA,51.226,-58.6502,46.96,35,99,20.27,overcast clouds
183,Carnarvon,AU,-24.8667,113.6333,69.87,100,75,8.05,light rain
184,Barrow,US,71.2906,-156.7887,30.22,80,90,8.05,overcast clouds
