City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Husavik,IS,2021-05-27 16:02:53,66.0449,-17.3389,58.68,39,9,8.28
92,Itoman,JP,2021-05-27 16:02:53,26.1247,127.6694,78.82,94,75,2.3
93,Olonets,RU,2021-05-27 16:02:53,60.9847,32.9698,62.2,56,17,3.53
94,Kodiak,US,2021-05-27 16:02:54,57.79,-152.4072,46.45,81,100,0.74
95,Guozhen,CN,2021-05-27 16:02:54,34.3659,107.359,72.5,47,100,5.55
96,Taoudenni,ML,2021-05-27 16:02:54,22.6783,-3.9836,108.97,11,78,4.88
97,Port Elizabeth,ZA,2021-05-27 16:02:55,-33.918,25.5701,64.09,76,97,15.46
98,Richards Bay,ZA,2021-05-27 15:58:22,-28.783,32.0377,69.85,71,6,12.12
99,Castro,BR,2021-05-27 16:01:17,-24.7911,-50.0119,72.32,55,49,8.37
100,Morros,BR,2021-05-27 16:02:55,-9.4467,-46.3003,89.98,30,20,10.02
101,Bredasdorp,ZA,2021-05-27 16:02:56,-34.5322,20.0403,62.28,65,88,6.96
102,Airai,TL,2021-05-27 16:02:56,-8.9266,125.4092,55.58,88,47,4.65
103,Mogadishu,SO,2021-05-27 15:58:12,2.0371,45.3438,79.23,80,76,12.91
104,Prince George,CA,2021-05-27 16:00:00,53.9166,-122.753,46.29,97,90,5.75
105,Bay City,US,2021-05-27 16:01:36,43.5945,-83.8889,55.96,62,40,12.84
106,Jamestown,US,2021-05-27 16:00:15,42.097,-79.2353,65.3,53,22,3.0
107,Umm Lajj,SA,2021-05-27 16:00:33,25.0213,37.2685,90.66,46,96,8.68
108,Bulgan,MN,2021-05-27 16:02:57,48.8125,103.5347,52.27,39,62,4.0
109,Dinar,TR,2021-05-27 16:02:58,38.065,30.1656,66.16,57,69,8.32
110,Panguipulli,CL,2021-05-27 16:02:58,-39.6333,-72.3333,51.31,89,100,4.14
111,New Norfolk,AU,2021-05-27 16:02:58,-42.7826,147.0587,42.58,74,77,3.0
112,Arlit,NE,2021-05-27 16:02:59,18.7369,7.3853,108.48,4,5,11.14
113,Dwarka,IN,2021-05-27 16:02:59,22.2394,68.9678,83.95,86,75,16.51
114,Okha,RU,2021-05-27 16:02:59,53.5739,142.9478,32.2,95,51,5.84
115,Nemuro,JP,2021-05-27 16:02:52,43.3236,145.575,45.64,95,100,9.93
116,Yulara,AU,2021-05-27 16:03:00,-25.2406,130.9889,47.61,53,99,9.37
